dateutc,T,RH,P,G,rain_rate,rain_total,rain_day,wind,gust,wind_dir,uv,Tin,qc
1787767260000,22.0,46.0,1012.903,194.85,0.0,0.0,0.0,1.078,1.802,12.0,1.0,22.722,
1787767560000,21.5,48.0,1012.497,259.13,22.86,3.81,3.81,3.605,5.407,72.0,2.0,21.5,lluvia_sin_humedad
1787767800000,21.0,48.0,1012.598,293.51,33.528,5.588,5.588,5.037,9.366,353.0,2.0,22.278,lluvia_sin_humedad
1787768100000,20.778,53.0,1012.395,311.96,33.528,5.588,5.588,0.354,0.0,134.0,3.0,22.389,lluvia_sin_humedad
1787768400000,21.889,46.0,1012.395,345.97,0.0,5.588,5.588,0.0,0.0,38.0,3.0,22.0,
1787779620000,20.5,50.0,1013.208,1.04,0.0,0.0,0.0,0.0,0.0,358.0,0.0,20.778,posible_interior|reinicio_contador|hueco_previo
1787779800000,20.611,49.0,1013.513,1.64,0.0,0.0,0.0,0.0,0.0,358.0,0.0,20.611,posible_interior
1787780160000,20.611,50.0,1013.208,1.49,0.0,0.0,0.0,0.0,0.0,358.0,0.0,20.611,posible_interior
1787780520000,20.611,50.0,1013.309,1.22,0.0,0.0,0.0,0.0,0.0,358.0,0.0,20.722,posible_interior
1787780700000,20.5,50.0,1013.411,1.22,0.0,0.0,0.0,0.0,0.0,358.0,0.0,21.0,posible_interior
1787781000000,20.5,49.0,1013.208,1.77,0.0,0.0,0.0,0.0,0.0,358.0,0.0,20.889,posible_interior
1787781300000,20.389,50.0,1013.513,1.17,0.0,0.0,0.0,0.0,0.0,358.0,0.0,21.0,
